 1/1  unison, perfect prime
 32/17  17th subharmonic
 32/19  19th subharmonic
 32/21  wide fifth
 32/23  23rd subharmonic
 32/25  classic diminished fourth
 32/27  Pythagorean minor third
 32/29  29th subharmonic
 32/31  Greek enharmonic 1/4-tone
 33/25  2 pentatones
 33/26  tridecimal major third
 33/28  undecimal minor third
 33/32  undecimal comma, al-Farabi's 1/4-tone
 34/21  supraminor sixth
 34/27  septendecimal major third
 35/18  septimal semi-diminished octave
 35/24  septimal semi-diminished fifth
 35/27  9/4-tone, septimal semi-diminished fourth
 35/32  septimal neutral second
 35/34  septendecimal 1/4-tone
 36/19  smaller undevicesimal major seventh
 36/25  classic diminished fifth
 36/35  septimal diesis, 1/4-tone
 37/32  37th harmonic
 39/32  39th harmonic, Zalzal wosta of Ibn Sina
 40/21  acute major seventh
 40/27  grave fifth
 40/39  tridecimal minor diesis
 42/25  quasi-tempered major sixth
 44/27  neutral sixth
 45/32  diatonic tritone
 45/44  1/5-tone
 46/45  23rd-partial chroma
 48/25  classic diminished octave
 48/35  septimal semi-augmented fourth
 49/25  BP eighth
 49/30  larger approximation to neutral sixth
 49/32
 49/36  Arabic lute acute fourth
 49/40  larger approximation to neutral third
 49/45  BP minor semitone
 49/48  slendro diesis, 1/6-tone
 50/27  grave major seventh
 50/33  3 pentatones
 50/49  Erlich's decatonic comma, tritonic diesis
 51/32
 51/50  17th-partial chroma
 52/33  tridecimal minor sixth
 54/35  septimal semi-augmented fifth
 54/49  Zalzal's mujannab
 55/32
 55/49  quasi-equal major second
 60/49  smaller approximation to neutral third
 63/25  quasi-equal major tenth, BP eleventh
 63/32  octave - septimal comma
 63/40  narrow minor sixth
 63/50  quasi-equal major third
 64/33  33rd subharmonic
 64/35  septimal neutral seventh
 64/37  37th subharmonic
 64/39  39th subharmonic
 64/45  2nd tritone
 64/49  2 septatones or septatonic major third
 64/63  septimal comma, Archytas' comma
 65/64  13th-partial chroma
 68/35  23/4-tone
 72/49  Arabic lute grave fifth
 75/49  BP fifth
 75/64  classic augmented second
 77/64
 77/76  approximation to 53-tone comma
 80/49  smaller approximation to neutral sixth
 80/63  wide major third
 81/44  2nd undecimal neutral seventh
 81/50  acute minor sixth
 81/64  Pythagorean major third
 81/68  Persian wosta
 81/70  Al-Hwarizmi's lute middle finger 
 81/80  syntonic comma, Didymus comma
 88/81  2nd undecimal neutral second
 89/84  approximation to equal semitone
 91/59  15/4-tone
 96/95  19th-partial chroma
 98/55  quasi-equal minor seventh
 99/70  2nd quasi-equal tritone
 99/98  small undecimal comma
 100/63   quasi-equal minor sixth
 100/81   grave major third
 100/99   Ptolemy's comma
 105/64   septimal neutral sixth
 121/120  undecimal seconds comma
 125/64   classic augmented seventh, octave - minor diesis
 125/72   classic augmented sixth
 125/96   classic augmented third
 125/108  semi-augmented whole tone
 125/112  classic augmented semitone
 126/125  small septimal comma
 128/75   diminished seventh
 128/81   Pythagorean minor sixth
 128/105  septimal neutral third
 128/121  undecimal semitone
 128/125  minor diesis, diesis
 131/90   13/4-tone
 135/128  major chroma, major limma
 140/99   quasi-equal tritone
 144/125  classic diminished third
 145/144  29th-partial chroma
 153/125  7/4-tone
 160/81   octave - syntonic comma
 161/93   19/4-tone
 162/149  Persian neutral second
 192/125  classic diminished sixth
 216/125  semi-augmented sixth
 225/128  augmented sixth
 225/224  septimal kleisma
 231/200  5/4-tone
 241/221  Meshaqah's 3/4-tone
 243/125  octave - maximal diesis
 243/128  Pythagorean major seventh
 243/160  acute fifth
 243/200  acute minor third
 243/242  neutral third comma
 245/243  minor BP diesis
 246/239  Meshaqah's 1/4-tone
 248/243  tricesoprimal comma
 250/153  17/4-tone
 250/243  maximal diesis
 256/135  octave - major chroma
 256/225  diminished third
 256/243  limma, Pythagorean minor second
 256/255  septendecimal kleisma
 261/256  vicesimononal comma
 272/243  Persian whole tone
 273/256  Ibn Sina's minor second
 320/243  grave fourth
 375/256  double augmented fourth
 375/343  BP major semitone
 385/384  undecimal kleisma
 400/243  grave major sixth
 405/256  wide augmented fifth
 512/343  3 septatones or septatonic fifth
 512/375  double diminished fifth
 512/405  narrow diminished fourth
 513/512  undevicesimal comma, Boethius' comma
 525/512  Avicenna enharmonic diesis
 540/539  Swets' comma
 625/324  octave - major diesis
 625/567  BP great semitone
 648/625  major diesis
 675/512  wide augmented third
 687/500  11/4-tone
 729/400  acute minor seventh
 729/512  Pythagorean tritone
 729/640  acute major second
 729/704  undecimal major diesis
 736/729  vicesimotertial comma
 749/500  ancient Chinese quasi-equal fifth
 750/749  ancient Chinese tempering
 800/729  grave whole tone
 896/891  undecimal semicomma
 1024/675  narrow diminished sixth
 1024/729  Pythagorean diminished fifth
 1029/1024  gamelan residue
 1053/1024  tridecimal major diesis
 1125/1024  double augmented prime
 1215/1024  wide augmented second
 1216/1215  Eratosthenes' comma
 1280/729   grave minor seventh
 1288/1287  triaphonisma
 1728/1715  Orwell comma
 1732/1731  approximation to 1 cent
 1875/1024  double augmented sixth
 2025/1024  2 tritones
